Nome, Descricao, Valor, ISBN
Java 8 Prático, Novos recursos da linguagem, 59.9, 978-85-66250-46-6
Java SE 7 Programmer I, O guia para sua certificação, 59.9, 123-45-67890-11-2
Test-Driven Development, Teste e Design no Mundo Real, 59.9, 123-45-67890-11-2
Lógica de Programação, Crie seus primeiros programas, 59.9, 978-85-66250-22-0
Thoughtworks Antologia, Histórias de aprendizado, 59.9, 123-45-67890-11-2
Jogos em HTML5, Explore o mobile e física, 59.9, 123-45-67890-11-2
UX Design, Introdução e boas práticas, 59.9, 978-85-66250-48-0
O Programador Apaixonado, Construindo uma carreira notável, 59.9, 978-85-66250-44-2
Google Android, crie aplicações para celulares, 59.9, 978-85-66250-02-2
HTML5 e CSS3, Domine a web do futuro, 59.9, 978-85-66250-05-3
JSF e JPA, Aplicações Java para a web, 59.9, 978-85-66250-01-5
A Web Mobile, Programe para um mundo de muitos dispositivos, 59.9, 978-85-66250-23-7
Desbravando Java e OO, Um guia para o iniciante da linguagem, 59.9, 123-45-67890-11-2
